"","parameter","estimate","CI.low","CI.high","p.value","p.value.adj","alpha.adj","significance"
"144","beta_tpoint_cortex_Fezf2_right18_X_Tns/Blk3",0.008145531975651,-1.57302806369829,2.61930294842481,0.994582664526485,0.994582664526485,0.05,"ns"
"145","baseline_cortex_tpoint_Nxph3_Tns/Blk1",24.5343867079551,23.3726856366551,26.2968329092546,NA,NA,NA," "
"146","beta_tpoint_cortex_Nxph3_right_X_Tns/Blk1",2.39150597468991,-0.676384484983643,5.28045032879627,0.0031099518459069,0.391853932584269,0.000396825396825397,"ns"
"147","beta_tpoint_cortex_Nxph3_18_X_Tns/Blk1",3.06709405768409,1.05297807792685,6.02273957510406,0.000100321027287298,0.0150481540930947,0.000333333333333333,"*"
"148","beta_tpoint_cortex_Nxph3_right18_X_Tns/Blk1",1.38451227913833,-0.900418202951599,3.85777589754777,0.0295947030497592,2.78190208667736,0.000531914893617021,"ns"
"149","baseline_cortex_tpoint_Nxph3_Tns/Blk2",60.1071285470305,58.9084384041108,60.980193145836,NA,NA,NA," "
"150","beta_tpoint_cortex_Nxph3_right_X_Tns/Blk2",2.39913168731927,-0.630196595793217,5.65396758844686,0.0082263242375602,0.970706260032104,0.000423728813559322,"ns"
"151","beta_tpoint_cortex_Nxph3_18_X_Tns/Blk2",8.41360900385291,5.38030633089015,11.5758705673301,0,0,0.000279329608938548,"***"
"152","beta_tpoint_cortex_Nxph3_right18_X_Tns/Blk2",-3.81483859984004,-9.2686622865428,0.889924820941584,0.0078250401284109,0.931179775280897,0.000420168067226891,"ns"
"153","baseline_cortex_tpoint_Rorb_Tns/Blk1",53.1576409730082,50.9232769130656,54.7487489989447,NA,NA,NA," "
"154","beta_tpoint_cortex_Rorb_right_X_Tns/Blk1",1.96583560019764,-3.11077274340574,5.98468731032151,0.111657303370786,7.59269662921348,0.000735294117647059,"ns"
"155","beta_tpoint_cortex_Rorb_18_X_Tns/Blk1",-0.235832968315761,-4.46021365054037,2.66794029488045,0.83457062600321,9.18027688603531,0.00454545454545455,"ns"
"156","beta_tpoint_cortex_Rorb_right18_X_Tns/Blk1",0.689611081534,-3.77506191549702,4.25130862101343,0.598314606741573,14.3595505617978,0.00208333333333333,"ns"
"157","baseline_cortex_tpoint_Rorb_Tns/Blk2",67.2836967735534,65.9056201844393,68.4105616526208,NA,NA,NA," "
